Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
    3.220             0.17371E-05                                  0.25477E-08                                  0.51680E-05
    3.230             0.17246E-05                                  0.25192E-08                                  0.51407E-05
    3.240             0.17123E-05                                  0.24910E-08                                  0.51136E-05
    3.250             0.17001E-05                                  0.24632E-08                                  0.50867E-05
    3.260             0.16880E-05                                  0.24358E-08                                  0.50600E-05
    3.270             0.16760E-05                                  0.24087E-08                                  0.50335E-05
    3.280             0.16642E-05                                  0.23821E-08                                  0.50073E-05
    3.290             0.16525E-05                                  0.23558E-08                                  0.49813E-05
    3.300             0.16409E-05                                  0.23298E-08                                  0.49555E-05
    3.310             0.16294E-05                                  0.23043E-08                                  0.49299E-05
    3.320             0.16180E-05                                  0.22790E-08                                  0.49045E-05
    3.330             0.16067E-05                                  0.22541E-08                                  0.48793E-05
    3.340             0.15956E-05                                  0.22296E-08                                  0.48544E-05
    3.350             0.15845E-05                                  0.22054E-08                                  0.48296E-05
    3.360             0.15736E-05                                  0.21815E-08                                  0.48050E-05
    3.370             0.15627E-05                                  0.21579E-08                                  0.47807E-05
    3.380             0.15520E-05                                  0.21346E-08                                  0.47565E-05
    3.390             0.15414E-05                                  0.21117E-08                                  0.47325E-05
    3.400             0.15309E-05                                  0.20890E-08                                  0.47087E-05
    3.410             0.15204E-05                                  0.20667E-08                                  0.46851E-05
    3.420             0.15101E-05                                  0.20446E-08                                  0.46616E-05
    3.430             0.14999E-05                                  0.20229E-08                                  0.46384E-05
    3.440             0.14898E-05                                  0.20014E-08                                  0.46153E-05
    3.450             0.14798E-05                                  0.19802E-08                                  0.45925E-05
    3.460             0.14698E-05                                  0.19593E-08                                  0.45698E-05
    3.470             0.14600E-05                                  0.19387E-08                                  0.45472E-05
    3.480             0.14502E-05                                  0.19183E-08                                  0.45249E-05
    3.490             0.14406E-05                                  0.18982E-08                                  0.45027E-05
    3.500             0.14310E-05                                  0.18784E-08                                  0.44807E-05
    3.510             0.14215E-05                                  0.18588E-08                                  0.44589E-05
    3.520             0.14122E-05                                  0.18394E-08                                  0.44372E-05
    3.530             0.14029E-05                                  0.18204E-08                                  0.44157E-05
    3.540             0.13937E-05                                  0.18015E-08                                  0.43944E-05
    3.550             0.13845E-05                                  0.17829E-08                                  0.43732E-05
    3.560             0.13755E-05                                  0.17646E-08                                  0.43522E-05
    3.570             0.13665E-05                                  0.17464E-08                                  0.43313E-05
    3.580             0.13577E-05                                  0.17285E-08                                  0.43106E-05
    3.590             0.13489E-05                                  0.17109E-08                                  0.42901E-05
    3.600             0.13401E-05                                  0.16934E-08                                  0.42697E-05
    3.610             0.13315E-05                                  0.16762E-08                                  0.42495E-05
    3.620             0.13230E-05                                  0.16592E-08                                  0.42294E-05
    3.630             0.13145E-05                                  0.16424E-08                                  0.42095E-05
    3.640             0.13061E-05                                  0.16258E-08                                  0.41897E-05
    3.650             0.12977E-05                                  0.16094E-08                                  0.41700E-05
    3.660             0.12895E-05                                  0.15932E-08                                  0.41505E-05
    3.670             0.12813E-05                                  0.15772E-08                                  0.41312E-05
    3.680             0.12732E-05                                  0.15614E-08                                  0.41120E-05
    3.690             0.12652E-05                                  0.15459E-08                                  0.40929E-05
    3.700             0.12572E-05                                  0.15305E-08                                  0.40740E-05
    3.710             0.12493E-05                                  0.15152E-08                                  0.40552E-05
    3.720             0.12415E-05                                  0.15002E-08                                  0.40365E-05
    3.730             0.12338E-05                                  0.14854E-08                                  0.40180E-05
    3.740             0.12261E-05                                  0.14707E-08                                  0.39996E-05
    3.750             0.12185E-05                                  0.14563E-08                                  0.39814E-05
    3.760             0.12109E-05                                  0.14420E-08                                  0.39632E-05
    3.770             0.12034E-05                                  0.14278E-08                                  0.39452E-05
    3.780             0.11960E-05                                  0.14139E-08                                  0.39274E-05
    3.790             0.11887E-05                                  0.14001E-08                                  0.39096E-05
    3.800             0.11814E-05                                  0.13864E-08                                  0.38920E-05
    3.810             0.11741E-05                                  0.13730E-08                                  0.38745E-05
    3.820             0.11670E-05                                  0.13597E-08                                  0.38572E-05
    3.830             0.11599E-05                                  0.13465E-08                                  0.38399E-05
    3.840             0.11528E-05                                  0.13336E-08                                  0.38228E-05
